Ferguson Alan Dr Inc,www.fergusondental.ca,alan@fergusondental.ca,604-984-9155,309-125 13th Street East,North Vancouver,BC ,V7L 2L3
Peterson Rod Dr,www.in-visioneyecare.com,alberta.association@optometrists.ab.ca,403-329-0200,106-2045 Mayor Magrath Drive South,Lethbridge,AB ,T1K 2S2
Nuu-Chah-Nulth Clinical Counsellor Program,www.nuuchahnulth.org,alejandrozurita@shaw.ca,250-725-4470,171 First,Tofino,BC ,V0R 2Z0
Synergy Health Centre,www.synergyhealthmanagement.com,alex@synergyhealthmanagement.com,250-727-3737,106-3960 Quadra Street,Victoria,BC ,V8X 4A3
Yonge & Sheppard Massage Therapy Clinic,www.ysmassagetherapy.ca,alexnolis@rogers.com,416-733-2539,4841 Yonge Street,North York,ON ,M2N 5X2
Butterman Alfred C Dr,www.dralfredbutterman.ca,alfredbutterman@yahoo.ca,604-731-9281,245-2184 Broadway West,Vancouver,BC ,V6K 2E1
Aquility,www.aquility.ca,almuth@aquility.ca,905-274-2436,106 Lakeshore Road East,Mississauga,ON ,L5G 1E3
Abbotsford Animal Hospital,www.abbotsfordanimalhospital.com,andrea.pringle@gmail.com,905-727-7379,14958 Yonge Street,Aurora,ON ,L4G 1M7
Animal Care Clinic,www.animalcareclinicvancouver.com,animalcareclinic@shaw.ca,604-873-4787,2132 Alberta Street,Vancouver,BC ,V5Y 3K3
Kulhay Wellness Clinic & Educational Centre,www.kulhaywellness.net,ann@kulhaywellness.net,519-833-0031,165 Main,Erin,ON ,N0B 1T0
Neilsen Homeopathic Medical Clinic,www.nielsenclinic.com,answers@nielsenclinic.com,403-265-9730,220-1919 Sirocco Drive Sw,Calgary,AB ,T3H 2Y3
Mount Pleasant Optometry Centre,www.aokvancouver.com,aok2020@hotmail.com,604-874-7302,104 Broadway East,Vancouver,BC ,V5T 1V9
Apex Dental Clinic,www.apexdentalclinic.com,apexdental@telus.net,604-433-3800,201-4885 Kingsway,Burnaby,BC ,V5H 4T2
Apple Electric Ltd,www.appleelectric.ca,appleelectric@telus.net,250-830-0997,1690R Maple Street,Campbell River,BC ,V9W 3G2
Apple Wellness Medical,www.applewellnesscenter.com,applewellness@aol.com,403-948-3342,229 1 St Sw,Airdrie,AB ,T4B 3L8
Lifetime Eyecare & Contact Lens Centre,www.lifetimeeyecare.ca,appointments@lifetimeeyecare.ca,604-522-1120,614 Sixth Street,New Westminster,BC ,V3L 3C3
Valenzano Michael M Dr,www.drvalenzano.com,appt@drvalenzano.com,905-851-3949,25 Woodstream Boulevard,Woodbridge,ON ,L4L 7Y8
Mill Creek Animal Hospital Ltd,www.millcreekvet.com,apstrong@shaw.ca,780-432-7297,8606 99 Street Nw,Edmonton,AB ,T6E 3T8
Argus Hearing Center,www.argushearing.com,argus@nb.aibn.com,506-857-3223,408 Mountain Road,Moncton,NB ,E1C 2M9
Doern Darryl W Dr,www.artdentistry.com,artdentistry@shawbiz.ca,250-374-0886,205-1315 Summit Drive,Kamloops,BC ,V2C 5R9
Dr Amin Damji & Associates,www.artisdentalcentre.com,artis@shawcable.com,604-524-0800,523 Sixth Street,New Westminster,BC ,V3L 3B9
Lakeshore Massage Therapy,www.lakeshoremassagetherapy.ca,aschrik@hotmail.com,250-764-1414,576 Radant Road,Kelowna,BC ,V1W 1A2
Geraldton District Hospital,www.geraldtondh.com,ashley.abraham@greenstone.ca,807-854-1862,Hogarth,Geraldton,ON ,P0T 1M0
A Simple Touch Lazer Clinic,www.asimpletouch.shawbiz.ca,asimpletouch@shawbiz.ca,250-276-3355,95-246 Martin Street,Penticton,BC ,V2A 5K3
Dentrix DentalCare North Hill,www.dentrixdentalcare.com,ask.mm@dentrixdentalcare.ca,403-289-9908,1163-1632 14 Avenue NW,Calgary,AB ,T2N 1M7
Dentrix DentalCare North Hill,www.dentrixdentalcare.com,ask.nh@dentrixdentalcare.com,403-289-9908,1163-1632 14 Avenue NW,Calgary,AB ,T2N 1M7
Sierra Centre For Dental Wellness,www.sierracentre.com,ask@sierracentre.com,403-297-9600,5982 Signal Hill Ctr SW,Calgary,AB ,T3H 3P8
Cosmetic Care Clinic and Spa,www.cosmeticcare.ca,askdrbrown@cosmeticare.ca,519-751-0566,207 Brant Avenue,Brantford,ON ,N3T 3J1
Promed Evaluations,www.promed.ca,assess@promed.ca,416-425-0701,255 Duncan Mill Road,North York,ON ,M3B 3H9
Blue House Denture Clinic Inc,www.bluehousedenture.com,atd-lc@shaw.ca,250-748-3843,156156 Government St,Duncan,BC ,V9L 1A2
Audiologic Solutions Inc,www.audiologicsolutions.ca,audiosol@telus.net,403-289-8900,202-2004 14 Street Nw,Calgary,AB ,T2M 3N3
Au Pair Nanny Caregiver Agency Inc,www.caregiveragency.com,aunanny@yahoo.com,403-272-4092,Po Box 76128 Rpo Millrise,Calgary,AB ,T2Y 2Z9
Pacific Centre For Reproductive Medicine Inc,www.pacificfertility.ca,auni@pacificfertility.ca,604-422-7276,5Flr-4601 Canada Way,Burnaby,BC ,V5G 4X7
Dawson Dental Centres,www.dawsondental.ca,aurora@dawsondental.ca,905-713-2600,2-133 Pedersen Drive,Aurora,ON ,L4G 0E3
Honsberger Physiotherapy,www.honsbergerphysio.com,aurora@honsbergerphysio.com,905-940-2627,675 Cochrane Drive,Markham,ON ,L3R 0B8
Ayr Massage Therapy & Acupuncture Clinic,www.ayrmassagetherapy.com,ayrmessage@on.aibn.com,519-632-9748,86 Stanley Street,Ayr,ON ,N0B 1E0
Dr Brian Alexander AuD,www.alexanderhearing.ca,balex@nbnet.nb.ca,506-384-4327,860 Mountain Road,Moncton,NB ,E1C 2N7
Bay Dental Care,www.baydentalcare.ca,baydentalcare@live.com,705-942-9200,648 Bay Street,Sault Ste Marie,ON ,P6A 1X8
Britannia Bodywork & Wellness Centre,www.britanniabodyworks.com,bbc@c-1.com,403-243-6610,211-5005 Elbow Drive Sw,Calgary,AB ,T2S 2T6
Shnall Jeffrey Dr,www.beachdentistry.com,beachdentistry@gmail.com,416-691-2886,853 Kingston Road,Toronto,ON ,M4E 1R9
md Spa & Laser Clinic,www.mdspa.ca,beaumont@mdspa.ca,780-929-9797,105 5001 30 Ave,Beaumont,AB ,T4X 1T9
Beauti-Med Laser Skin Care Centre,www.beauti-med.com,beauti-med@telus.net,604-942-8849,210-2099 Lougheed Highway,Port Coquitlam,BC ,V3B 1A8
We Care Home Health Services,www.wecare.ca,bforbes@wecarecanada.com,250-563-3501,102-1811 Victoria Street,Prince George,BC ,V2L 2L6
Beacon Hill Dental,www.beaconhilldental.ca,bhdental@telus.net,403-295-1182,110D-11634 Sarcee Trail Nw,Calgary,AB ,T3R 0A1
Northern Dental & Hygiene Centre,www.ndhc.ca,bhuppe@ndhc.ca,780-532-1786,512-11601 99 Street,Grande Prairie,AB ,T8V 6Z1
Hurd Brian Dr,www.hurdbraces.com,bhurd@coeco.net,905-632-7621,3401 Fairview Street,Burlington,ON ,L7N 2R4
Goderich Medical Centre,www.goderich.ca,bia@goderich.ca,519-524-5385,181 Cambria Road North,Goderich,ON ,N7A 2R2
All Round Health & Fitness,www.allroundhealthandfitness.ca,bill@allroundhealthandfitness.ca,705-728-0624,110 Anne Street South,Barrie,ON ,L4N 2E3
Fit City,www.fitcity.com,billchew2@yahoo.com,905-953-9391,1095 Stellar Drive,Newmarket,ON ,L3Y 7B8
Birch Dan Animal Hospital,www.birch-dan.ca,birch-dan@hotmail.com,416-266-1377,556 Danforth Road,Scarborough,ON ,M1K 1C6
Occupational Health Clinic Ontario Wrkrs,www.ohcow.on.ca,bkanduth@ohcow.on.ca,519-337-4627,171 Kendall,Port Edward,ON ,N7V 4G6
About Face,www.aboutfacesarnia.com,bkpedder@cogeco.ca,519-542-0079,1692 Murphy Road,Sarnia,ON ,N7S 2Z3
Chaggerdental-Oakville,www.chaggerdental.com,bobby@chaggerdental.com,905-257-2221,231 Oak Park Boulevard,Oakville,ON ,L6H 7S8
Apple Dental Group,www.appledental.ca,bobcoles@telus.net,604-590-2522,203-13766 72 Avenue,Surrey,BC ,V3W 2P4
BC Counselling & Consultation,www.bc-cc.ca,bonniechatwin@hotmail.com,604-626-9079,305 Wellington Drive,North Vancouver,BC ,V7N 1P5
Bowness Health Food,www.bownesshealthfood.com,bownesshealthfood@shaw.ca,403-286-2224,6435 Bowness Road Nw,Calgary,AB ,T3B 0E6
Village Orthodontics,www.villageortho.ca,braces@villageortho.ca,905-275-8501,4288 Village Centre Court,Mississauga,ON ,L4Z 1S2
Hoffman Barry Dr,www.hoffmanwolkorthodontics.com,braceshw@shaw.ca,403-286-2402,201-4600 Crowchild Trail Nw,Calgary,AB ,T3A 2L6
Wolk Ronald P Dr,www.hoffmanwolkorthodontics.com,bracesshw@shaw.ca,403-286-2402,201-4600 Crowchild Trail Nw,Calgary,AB ,T3A 2L6
Grand River Sports Medicine Centre,www.grsm.ca,bracing@grsm.ca,519-622-4529,40 George Street North,Cambridge,ON ,N1S 2M8
Eglinton-Kennedy Foot Clinic,www.yourpainfulfeet.com,brianharper@yourpainfulfeet.com,416-751-8066,2425 Eglinton Avenue East,Scarborough,ON ,M1K 5G8
Great Smile Family Dental Clinic,www.drmontanosmileclinics.com,bright.smile@shaw.ca,780-444-1444,10025 166 Street Nw,Edmonton,AB ,T5P 4Y1
