
Moksha Yoga Bloor West Village,www.4167669642.yp.ca,,416-766-9642,2454 Bloor Street West,York,ON ,M6S 1R2,yoga
Moksha Yoga Danforth,www.4167787744.yp.ca,,416-778-7744,372 Danforth Avenue,Toronto,ON ,M4K 1N8,yoga
Bikran Yoga Forest Hill,www.4167899642.yp.ca,,416-789-9642,1059 Eglinton Avenue West,York,ON ,M6C 2C9,yoga
Bikram Yoga Toronto East,www.4168505010.yp.ca,,416-850-5010,111 Island Road,Scarborough,ON ,M1C 2P7,yoga
Casa Vera Montessori School,www.casaverams.com,,416-850-9705,2000 Keele Street,Toronto,ON ,M6M 3Y4,yoga
The Yoga Lounge,www.4168641973.yp.ca,,416-864-1973,103 Church Street,Toronto,ON ,M5C 2G3,yoga
Yoga Momma,www.4169139642.yp.ca,,416-913-9642,59 Grantown Avenue,Scarborough,ON ,M1C 3R8,yoga
Flirty Girl Fitness,www.flirtygirlfitness.com,,416-920-1400,462 Wellington Street West,Toronto,ON ,M5V 1E3,yoga
Yonge Street Fitness Club,www.4169203157.yp.ca,,416-920-3157,7 Isabella Street,Toronto,ON ,M4Y 1M7,yoga
Kula Yoga Studio,www.4169225852.yp.ca,,416-922-5852,304 Brunswick Avenue,Toronto,ON ,M5S 2M7,yoga
889 Yonge,www.889yonge.com,,416-925-7206,889 Yonge Street,Toronto,ON ,M4W 2H2,yoga
Breathe Yoga Studio,www.breatheyogastudio.com,,416-926-9642,2253 Bloor Street West,Toronto,ON ,M6S 1N8,yoga
Yoga Sanctuary The,www.4169283236.yp.ca,,416-928-3236,2 College Street,Toronto,ON ,M5G 1K3,yoga
Lotus Yoga Centre,www.4169294428.yp.ca,,416-929-4428,100 Harbord Street,Toronto,ON ,M5S 1G6,yoga
Eli Bay's Relaxation Response Inst,www.elibay.com,,416-932-2784,1352 Bathurst Street,Toronto,ON ,M5R 3H7,yoga
Victory Of Light,www.4169351585.yp.ca,,416-935-1585,500 Duplex Avenue,Toronto,ON ,M4R 1V6,yoga
Esther Myers Yoga Studio,www.estheryoga.com,,416-944-0838,390 Dupont Street,Toronto,ON ,M5R 1V9,yoga
THE YOGA WAY,www.theyogaway.com,,416-944-1415,82 Avenue Road,Toronto,ON ,M5R 2H2,yoga
Craig Corporation The,www.4169605062.yp.ca,,416-960-5062,371 Berkeley Street,Toronto,ON ,M5A 2X8,yoga
The Centre,www.4169647919.yp.ca,,416-964-7919,316 Dupont Street,Toronto,ON ,M5R 1V9,yoga
Sivananda Yoga Vedanta Centre,www.4169669642.yp.ca,,416-966-9642,77 Harbord Street,Toronto,ON ,M5S 1G4,yoga
Eaton Family Health Care,www.eatonhealth.ca,,519-220-0003,38 Queen Street West,Cambridge,ON ,N3C 1G1,yoga
Yoga Centre The,www.5192524808.yp.ca,,519-252-4808,532 Chilver Road,Windsor,ON ,N8Y 2J9,yoga
Yoga Loft The,www.5192529642.yp.ca,,519-252-9642,624 Chilver Road,Windsor,ON ,N8Y 2K2,yoga
Absolute Fitness For Women,www.absolutefitness.ca,,519-253-9919,2109 Ottawa Street,Windsor,ON ,N8Y 1R8,yoga
Downtown Yoga Studio,www.5192543111.yp.ca,,519-254-3111,315 Pelissier Street,Windsor,ON ,N9A 4K8,yoga
Yoga Collective The,www.5192711153.yp.ca,,519-271-1153,42 Wellington Street,Stratford,ON ,N5A 2L2,yoga
Stratford Meals On Wheels & Neighbourly Services,www.stratfordmowandns.ca,,519-271-2217,643 West Gore Street,Stratford,ON ,N5A 1L4,yoga
Gentle Hatha Yoga,www.5192844072.yp.ca,,519-284-4072,RR 1,St Marys,ON ,N4X 1C4,yoga
Dynafit Exercise Centre,www.5192912122.yp.ca,,519-291-2122,225 Main Street East,Listowel,ON ,N4W 2B8,yoga
OSO Yoga - London Centre,www.5192933686.yp.ca,,519-293-3686,141 Ailsa Craig Main,Ailsa Craig,ON ,N0M 1A0,yoga
Renew Life Therapies & Yoga,www.renewlifeyoga.com,,519-323-9295,179 Norpark Av,Mount Forest,ON ,N0G 2L0,yoga
Mandorla Yoga & Wellness,www.mandorlayoga.com,,519-337-0784,159 Bright Street,Sarnia,ON ,N7T 4E8,yoga
Body One Massage Therapy,www.perfectharmonyck.com,,519-352-7772,72 Victoria Avenue,Chatham,ON ,N7L 3A1,yoga
Shakti Yoga,www.5193551652.yp.ca,,519-355-1652,137 King Street West,Chatham,ON ,N7M 1E4,yoga
Indira Devi Studio Of Yoga,www.5193646263.yp.ca,,519-364-6263,330 10th Street,Hanover,ON ,N4N 1P3,yoga
Trillium Healing Arts Centre-Kundolini Yoga And Meditation,www.5193729212.yp.ca,,519-372-9212,235 9th Street East,Owen Sound,ON ,N4K 1N8,yoga
Kincardine Holistic Health Centre,www.5193964018.yp.ca,,519-396-4018,281 Durham Street,Kincardine,ON ,N2Z 2X9,yoga
Eleonora Benian P C Yoga therapist,www.5194000780.yp.ca,,519-400-0780,123 Woolwich Street,Guelph,ON ,N1H 3V1,yoga
Wortley Wellness Centre Inc,www.wortleywellness.com,,519-433-2220,119 Wortley Road,London,ON ,N6C 3P3,yoga
Wholistic Body & Baby,www.wholisticbodyworks.com,,519-433-6156,256 Central Avenue,London,ON ,N6A 1M8,yoga
Health Network The,www.5194337400.yp.ca,,519-433-7400,43 Oxford Street West,London,ON ,N6H 1R5,yoga
Cedar Trees & Bumble Bees Yoga Studio & Wellness Retreat,www.5194360934.yp.ca,,519-436-0934,345 Wellington Street West,Chatham,ON ,N7M 1K2,yoga
Laurie-Ann's School Of Dance Inc,www.laurieannsdance.com,,519-439-3694,1050 Kipps Lane,London,ON ,N5Y 4S5,yoga
Xtreme Health & Fitness Centre,www.5194423445.yp.ca,,519-442-3445,326 Grand River Street North,Paris,ON ,N3L 3R7,yoga
Oakridge Counselling & Wellness Centre,www.oakridgecounselling.com,,519-471-4540,759 Hyde Park Road,London,ON ,N6H 3S2,yoga
Athletic Club,www.theathleticclubs.ca,getfit@the-athletic-club.ca,519-471-7181,755 Wonderland Road North,London,ON ,N6H 4L1,yoga
Oak Park Co-Operative Children Centre Inc,www.5194730512.yp.ca,,519-473-0512,1040 Oxford Street West,London,ON ,N6H 1V4,yoga
Breathe Yoga & Pilates,www.5194743210.yp.ca,,519-474-3210,36-1615 North Routledge Park,London,ON ,N6H 5N5,yoga
Priya Yoga Centre,www.5194770222.yp.ca,,519-477-0222,242 11th Street West,Owen Sound,ON ,N4K 3S6,yoga
Eastside Yoga,www.5194780087.yp.ca,,519-478-0087,9733 Tecumseh Road East,Windsor,ON ,N8R 1A5,yoga
Complete Wellness Massage Therapy Center,www.5195342003.yp.ca,,519-534-2003,369 Mary,Wiarton,ON ,N0H 2T0,yoga
Reflections Yoga And Wellness Studio,www.5195376608.yp.ca,,519-537-6608,38 Riddell Street,Woodstock,ON ,N4S 6M1,yoga
Lilybear Dance Boutique,www.5195378444.yp.ca,,519-537-8444,496 Adelaide Street,Woodstock,ON ,N4S 4B4,yoga
Blue Skies Yoga & Eco Store,www.blueskiesyoga.com,,519-574-1941,55G Victoria Street North,Kitchener,ON ,N2H 5B7,yoga
Body Quest Fitness & Nutrition,www.5196227972.yp.ca,,519-622-7972,182 Pinebush Road,Galt,ON ,N1R 8J8,yoga
Yoga Your Way,www.5196416677.yp.ca,,519-641-6677,1411 Byron Baseline Road,London,ON ,N6K 2E9,yoga
Lotus Centre For Yoga & Health,www.lotuscentre.ca,,519-642-2378,140 Ann Street,London,ON ,N6A 1R3,yoga
The Mindful Body,www.5196497070.yp.ca,,519-649-7070,189 Adelaide Street South,London,ON ,N5Z 3K7,yoga
Fusionmovement,www.5196530090.yp.ca,,519-653-0090,336 Eagle Street North,Cambridge,ON ,N3H 1C2,yoga
Jazzercise Fitness Centre,www.jazzercise.com,,519-657-7031,725 Notre Dame Drive,London,ON ,N6J 3V5,yoga
London Dance Shoppe Inc The,www.londondanceshoppe.com,,519-659-1265,141 Wortley Road,London,ON ,N6C 3P4,yoga
The Spark Centre,www.5196626600.yp.ca,,519-662-6600,251A Huron Street,New Hamburg,ON ,N3A 1K2,yoga
Marienbad Restaurant,www.marienbad.ca,,519-679-9940,122 Carling Street,London,ON ,N6A 1H6,yoga
Let's Get Fit,www.5196832500.yp.ca,,519-683-2500,943 Wellington St,Dresden,ON ,N0P 1M0,yoga
Lasalle Montessori,www.5197347776.yp.ca,,519-734-7776,6555 Malden Road,Windsor,ON ,N9H 1T5,yoga
Lifestyle Family Fitness Centre Inc,www.5197351616.yp.ca,,519-735-1616,13275 Tecumseh Road East,Tecumseh,ON ,N8N 3T4,yoga
Women's Club The,www.womensclubfitness.com,,519-735-3100,1606 Sylvestre Drive,Tecumseh,ON ,N8N 2L9,yoga
Love It Yoga,www.5197364500.yp.ca,,519-736-4500,134 Richmond Street,Amherstburg,ON ,N9V 1G4,yoga
Balance Yoga Studio,www.5197384551.yp.ca,,519-738-4551,33 King W,Harrow,ON ,N0R 1G0,yoga
Fernandes Family Natural Health Care,www.5197400555.yp.ca,,519-740-0555,7 Thorne Street,Cambridge,ON ,N1R 1S3,yoga
Queen Street Yoga,www.5197419642.yp.ca,,519-741-9642,44 Queen Street South,Kitchener,ON ,N2G 1V6,yoga
Megan Piercy Yoga,www.5197455999.yp.ca,,519-745-5999,22 Bridgeport Road West,Waterloo,ON ,N2L 2Y3,yoga
K-W Yoga Centre Inc,www.kwyoga.com,,519-746-2311,496 Albert Street,Waterloo,ON ,N2L 3V4,yoga
Community Of Hearts Yoga,www.communitiyofheratsyoga.com,,519-746-2691,826 King Street North,Waterloo,ON ,N2J 4G8,yoga
Columbia Lake Health Club,www.columbialakehealthclub.com,,519-746-7416,340 Hagey Bl,Kitchener,ON ,N2L 6R5,yoga
Yoga & Healing Arts Centre The,www.5197468047.yp.ca,,519-746-8047,420 Weber Street North,Waterloo,ON ,N2L 4E7,yoga
Carousel Dance Centre,www.carouseldancecentre.ca,,519-746-8877,550 Parkside Drive,Waterloo,ON ,N2L 5V4,yoga
Luther Village On The Park,www.luthervillage.org,,519-747-4413,139 Father David Bauer Dr,Waterloo,ON ,N2L 6L1,yoga
Bikram Yoga Kw,www.5197499888.yp.ca,,519-749-9888,663 Belmont Avenue West,Kitchener,ON ,N2M 1N8,yoga
Don Warrener's Martial Arts Academy,www.5197511117.yp.ca,,519-751-1117,85 Charing Cross Street,Brantford,ON ,N3R 2H5,yoga
Welkin Wellness Centre,www.5197511368.yp.ca,,519-751-1368,13-45 Dalkeith Drive,Brantford,ON ,N3P 1M1,yoga
Athletic Club,www.theathleticclubs.ca,,519-756-0123,595 West Street,Brantford,ON ,N3R 7C5,yoga
Riverside Glen Yoga,www.5197595033.yp.ca,,519-759-5033,357 Brant County Rd 18,Brantford,ON ,N3T 5L9,yoga
Breathe Rejuvenation Studio,www.breatherejuvenationstudio.com,,519-763-7727,72 Arnold Street,Guelph,ON ,N1H 5G9,yoga
Running Works,www.5197638033.yp.ca,,519-763-8033,33 Quebec Street,Guelph,ON ,N1H 2T1,yoga
Living Yoga & Health,www.5197671041.yp.ca,,519-767-1041,105 Wyndham Street North,Guelph,ON ,N1H 4E9,yoga
Santosha Yoga And Pilates,www.5197675554.yp.ca,,519-767-5554,843 Watson S,Guelph,ON ,N0B 1C0,yoga
Bikram's Yoga College of India-Guelph,www.5197800110.yp.ca,,519-780-0110,126 Woolwich Street,Guelph,ON ,N1H 3V2,yoga
Blue Heron Body & Soul,www.5197802881.yp.ca,,519-780-2881,30 Sugarbush Place,Guelph,ON ,N1H 7Z2,yoga
Sharon Burke's Yoga,www.5197872311.yp.ca,,519-787-2311,230 Hillside Drive,Fergus,ON ,N1M 2E8,yoga
The Yoga Room & Therapy Centre,www.5198213381.yp.ca,,519-821-3381,39 Park Avenue,Guelph,ON ,N1H 4S6,yoga
Moksha Yoga Guelph & Body Therapies,www.5198222210.yp.ca,,519-822-2210,78 Norfolk Street,Guelph,ON ,N1H 4J2,yoga
Today's Fitness Club,www.todaysfitness.ca,,519-823-0015,355 Elmira Road North,Guelph,ON ,N1K 1S5,yoga
Carolyn Weatherson Yoga & Pilates,www.5198248369.yp.ca,,519-824-8369,340 Southgate Drive,Guelph,ON ,N1G 4P5,yoga
Pilates In Guelph,www.5198292928.yp.ca,,519-829-2928,109 Surrey Street East,Guelph,ON ,N1H 3P7,yoga
Eagles And Auracles,www.5198294097.yp.ca,,519-829-4097,10 Paisley Street,Guelph,ON ,N1H 2N6,yoga
Guelph Montessori School,www.guelphmontessori.com,guelphmontessori@rogerscom,519-836-3810,151 Waterloo Avenue,Guelph,ON ,N1H 3H9,yoga
Moksha Yoga London,www.5198508850.yp.ca,,519-850-8850,4-677 Richmond Street,London,ON ,N6A 5M1,yoga
Yoga Centre London,www.5198580823.yp.ca,,519-858-0823,575 Richmond Street,London,ON ,N6A 3G2,yoga
Camp Tawingo,www.tawingo.net,,519-885-4180,1844 Ravenscliffe Road,Huntsville,ON ,P1H 2N2,yoga
Oso Yoga Inc,www.5199139642.yp.ca,,519-913-9642,125 Commissioners Road West B,London,ON ,N6J 1X7,yoga
Tamika Schilbe MSW E-RYT,www.5199360033.yp.ca,,519-936-0033,Rd E PO Box 52007 Rpo Commissioners,London,ON ,N6C 0A1,yoga
Windsor Squash & Fitness Club,www.5199662141.yp.ca,,519-966-2141,2475 McDougall Street,Windsor,ON ,N8X 3N9,yoga
Children's House Montessori The,www.tchmontessori.ca,,519-969-5278,2611 Labelle Street,Windsor,ON ,N9E 4G4,yoga
Be Well A Creating Wellness Centre,www.discoverbewell.com,,519-972-9355,3449 Walker Road,Windsor,ON ,N8W 3S2,yoga
Edmunds Towers School Of Dance,,,519-974-7422,2555 Jefferson Boulevard,Windsor,ON ,N8T 2W5,yoga
Delta Chi Main Campus,www.deltachichildcare.com,,519-977-5922,1385 Ouellette Avenue,Windsor,ON ,N8X 1J6,yoga
Namaste Yoga Centre,www.5199795551.yp.ca,,519-979-5551,1825 Manning Road,Tecumseh,ON ,N8N 2L9,yoga
LiveWell Family Health Centre,www.livewellhealth.com,,613-225-3339,100 Centrepointe Drive,Nepean,ON ,K2G 6B1,yoga
Club Yoga,www.6132289235.yp.ca,,613-228-9235,63 Beachwood (Inside The Living Arts Center),Ottawa,ON ,K1S 1A4,yoga
Adishesha Yoga Zone,www.6132311221.yp.ca,,613-231-1221,99 Fourth Avenue,Ottawa,ON ,K1S 2L1,yoga
Rama Lotus Yoga Centre,www.ottawayoga.com,info@ottawayoga.com,613-234-7974,340 Gladstone Avenue,Ottawa,ON ,K2P 0Y8,yoga
Santosha Yoga,www.santoshayoga.com,,613-235-5378,346-205 Richmond Road,Ottawa,ON ,K1Z 6W4,yoga
Preston Health Collective,www.prestonhealth.ca,,613-235-5433,338 Preston Street,Ottawa,ON ,K1S 4M6,yoga
Radha Yoga Center,www.6132363545.yp.ca,,613-236-3545,617 Cooper Street,Ottawa,ON ,K1R 5J1,yoga
Motion Matters Physiotherapy & Sports Injury Clinic,www.motionmatters.ca,,613-237-4343,170 Laurier Avenue West,Ottawa,ON ,K1P 5V5,yoga
Glebe Fitness Inc,www.glebefitness.com,,613-237-4747,858 Bank Street,Ottawa,ON ,K1S 3W3,yoga
The School Of Dance,www.theschoolofdance.ca,,613-238-7838,200 Crichton Street,Ottawa,ON ,K1M 1W2,yoga
Pharmacie Brisson,www.6132416273.yp.ca,,613-241-6273,270 Dalhousie Street,Ottawa,ON ,K1N 7E4,yoga
Upward Dog Yoga Centre,www.6132419642.yp.ca,,613-241-9642,251 Dalhousie Street,Ottawa,ON ,K1N 7E1,yoga
Soma Health & Fitness Inc,www.somahealthandfitness.com,,613-244-0490,700 Sussex Drive,Ottawa,ON ,K1N 1K4,yoga
Fitness Depot,www.fitnessdepotottawa.com,info@fitnessdepotottawa.com,613-247-8888,499 Industrial Avenue,Ottawa,ON ,K1G 0Z1,yoga
Yoga Station,www.6132539642.yp.ca,,613-253-9642,132 Coleman Street,Carleton Place,ON ,K7C 4M7,yoga
Bodhi Tree Yoga,www.6132585775.yp.ca,,613-258-5775,39 Prescott,Kemptville,ON ,K0G 1J0,yoga
Yoga Connection,www.6132677148.yp.ca,,613-267-7148,32 North Street,Perth,ON ,K7H 2S7,yoga
Mountain Goat Yoga Centre,www.6132718998.yp.ca,,613-271-8998,150 Katimavik Road,Kanata,ON ,K2L 2N2,yoga
Path Yoga,www.6133285856.yp.ca,,613-328-5856,336A Barrie Street,Kingston,ON ,K7K 3T1,yoga
Broadway Dance Boutique,www.6133421816.yp.ca,,613-342-1816,340 Park Street,Brockville,ON ,K6V 2J2,yoga
Healing Arts Centre & The Yoga Studio,www.6133457757.yp.ca,,613-345-7757,68 King Street East,Brockville,ON ,K6V 1B3,yoga
Yoga Samatva,www.6133846463.yp.ca,,613-384-6463,1724 Bath Road,Kingston,ON ,K7M 4Y2,yoga
Heartsong Yoga Studio,www.6134337346.yp.ca,,613-433-7346,197 Raglan Street South,Renfrew,ON ,K7V 1R2,yoga
Blue Yoga Bamboo,www.6134359447.yp.ca,,613-435-9447,11B-6081 Hazeldean Road,Stittsville,ON ,K2S 1B9,yoga
Kingston Yoga Centre With Perri,www.6134538811.yp.ca,,613-453-8811,11 Livingston Avenue,Kingston,ON ,K7L 4L1,yoga
Ottawa Athletic Club,www.ottawaathleticclub.com,,613-523-1540,2525 Lancaster Road,Ottawa,ON ,K1B 4L5,yoga
Body Now 4 Mums & Kids,www.6135426867.yp.ca,,613-542-6867,61 Yonge Street,Kingston,ON ,K7M 1E4,yoga
Lila Centre,www.6135451063.yp.ca,,613-545-1063,156 Princess Street,Kingston,ON ,K7L 1B1,yoga
Thai Yoga Massage,www.6135479642.yp.ca,,613-547-9642,80 Princess Street,Kingston,ON ,K7L 1A5,yoga
"Samatva, A Holistic Living & Yoga Space",www.6135487685.yp.ca,,613-548-7685,397 Princess Street,Kingston,ON ,K7L 1B9,yoga
Yoga To Go,www.6135495564.yp.ca,,613-549-5564,662F Progress Avenue,Kingston,ON ,K7M 4W9,yoga
Studio 330,www.6135497330.yp.ca,,613-549-7330,330 Princess Street,Kingston,ON ,K7L 1B6,yoga
Blue Bamboo Yoga,www.6135919642.yp.ca,,613-591-9642,64 Stonehaven Drive,Kanata,ON ,K2M 2Y2,yoga
Elgin Massage Therapy Clinic,www.elginmassagetherapy.com,,613-594-3655,167 Lisgar Street,Ottawa,ON ,K2P 0C3,yoga
Astanga Yoga Ottawa,www.6137226860.yp.ca,,613-722-6860,200-1/2 Bank,Ottawa,ON ,K2P 1W8,yoga
Fitness Equipment of Ottawa,www.feo.ca,,613-723-5303,1547 Merivale Road,Nepean,ON ,K2G 4V3,yoga
Metta Massage & Yoga Clinic,www.mettamassage.com,,613-724-4747,421 Richmond Road,Ottawa,ON ,K2A 4H1,yoga
Florida Fitness,www.myfloridafitness.com,,613-727-5300,530 Hunt Club Road,Ottawa,ON ,K1V 1C1,yoga
Broadview Spine And Health Centre,www.stopmypain.info,,613-728-2929,765 Broadview Avenue,Ottawa,ON ,K2A 3X3,yoga
RA LifeFIT Centre,www.racentre.com,,613-733-5100,2451 Riverside Drive,Ottawa,ON ,K1H 7X7,yoga
Michelle School Of Performing Arts,www.6137356572.yp.ca,,613-735-6572,130 Pembroke Street West,Pembroke,ON ,K8A 5M8,yoga
Evolutions,www.6137357911.yp.ca,,613-735-7911,570 Nelson Street,Pembroke,ON ,K8A 7W7,yoga
Dahn Yoga,www.6137469642.yp.ca,,613-746-9642,1055 St Laurent Boulevard,Ottawa,ON ,K1K 3B1,yoga
Iyengar Yoga Center,www.iyoga.ca,,613-761-7888,784 Bronson Avenue,Ottawa,ON ,K1S 4G4,yoga
