
Canada-Japan Karate Assn (JKA) of B C,www.6042248857.yp.ca,,604-224-8857,4397 2nd Avenue West,Vancouver,BC ,V6R 1K4,martial+arts
Choy Lai Fut Martial Arts Hall,www.choylaifut.com,,604-231-9056,1005-8888 Odlin Crescent,Richmond,BC ,V6X 3Z8,martial+arts
Lok's Martial Arts Centre,www.6042329552.yp.ca,,604-232-9552,123-4940 No. 3 Road,Richmond,BC ,V6X 3A5,martial+arts
Richmond Martial Arts Ltd,www.6042417624.yp.ca,,604-241-7624,120-11331 Coppersmith Way,Richmond,BC ,V7A 5J9,martial+arts
Aikido With Ki,www.vks.ca,,604-244-0403,104-11031 Bridgeport Road,Richmond,BC ,V6X 3A2,martial+arts
Tong Moo Do Martial Arts,www.6042441188.yp.ca,,604-244-1188,250-8040 Garden City Road,Richmond,BC ,V6Y 2N9,martial+arts
Sirota's Alchymy Inc,www.6042448842.yp.ca,,604-244-8842,160-5640 Hollybridge Way,Richmond,BC ,V7C 4N3,martial+arts
K S Cho Tae Kwon Do,www.6042470037.yp.ca,,604-247-0037,6916 No. 3 Road,Richmond,BC ,V6Y 2C5,martial+arts
Universal Mixed Martial Arts,www.6042471700.yp.ca,,604-247-1700,140-6351 Westminster Highway,Richmond,BC ,V7C 4V4,martial+arts
SunFire Tae Kwon Do,www.6042472194.yp.ca,,604-247-2194,550-3771 Jacombs Road,Richmond,BC ,V6V 2L9,martial+arts
Mikado Martial Arts Supplies,www.6042537168.yp.ca,,604-253-7168,701 Hastings Street East,Vancouver,BC ,V6A 1R3,martial+arts
Golden Arrow Martial Arts Supplies,www.goldenarrowmartialarts.com,service@goldenarrowmartialarts.com,604-254-6910,2234 Hastings Street East,Vancouver,BC ,V5L 1V4,martial+arts
Kel Lee's Academy Of Martial Arts/Posener's Pankration,www.kelleesama.com,pankration@shaw.ca,604-255-5344,2916 Graveley Street,Vancouver,BC ,V5K 3K3,martial+arts
Chen Taekwondo Fitness,www.6042693728.yp.ca,,604-269-3728,1526 Rand Avenue,Vancouver,BC ,V6P 3G2,martial+arts
Richmond Black Belt Academy,www.6042719869.yp.ca,,604-271-9869,170-5731 Minoru Boulevard,Richmond,BC ,V6X 2B1,martial+arts
Maki Performance Training,www.6042723672.yp.ca,,604-272-3672,150-11960 Hammersmith Way,Richmond,BC ,V7A 5C9,martial+arts
Shinka Martial Arts Inc,www.6042755425.yp.ca,,604-275-5425,110-12280 Trites Road,Richmond,BC ,V7E 3R7,martial+arts
Ving Tsun,www.6042782855.yp.ca,,604-278-2855,12351 Barnes Drive,Richmond,BC ,V6V 1H7,martial+arts
Creative Fighter's Guild,www.6042786663.yp.ca,,604-278-6663,120-11300 No. 5 Road,Richmond,BC ,V7A 5J7,martial+arts
Wu's Tae Kwondo School Canada,www.6042788721.yp.ca,,604-278-8721,120-4400 Hazelbridge Way,Richmond,BC ,V6X 3R8,martial+arts
Cobra Kai Martial Arts Academy,www.cobrakai.ca,,604-298-5650,4715 Hastings Street,Burnaby,BC ,V5C 2K8,martial+arts
Olympic Taekwondo Academy,www.6042994590.yp.ca,,604-299-4590,4543 Hastings Street,Burnaby,BC ,V5C 2K3,martial+arts
Fitness Depot Burnaby,,,604-299-7716,4141 Lougheed Highway,Burnaby,BC ,V5C 3Y6,martial+arts
Dragon Temple Martial Arts,www.dragontemple.ca,master@dragontemple.ca,604-321-3454,494 39th Avenue West,Vancouver,BC ,V5Y 2P7,martial+arts
Sugarays Boxing Gym,www.6043219377.yp.ca,,604-321-9377,40-942 Marine Drive Sw,Vancouver,BC ,V6P 5Z2,martial+arts
Dynamic Mixed Martial Arts,www.6043259662.yp.ca,,604-325-9662,5842 Cambie Street,Vancouver,BC ,V5Z 3A8,martial+arts
Karate BC,www.6043333610.yp.ca,,604-333-3610,225-3820 Cessna Drive,Richmond,BC ,V7B 0A2,martial+arts
Jing Kune Martial Arts Ltd,www.6043416672.yp.ca,,604-341-6672,102-405 Columbia Street,New Westminster,BC ,V3L 1A9,martial+arts
Kingsway Shito-Ryu Karate-Do Ltd,www.6044304237.yp.ca,,604-430-4237,2501 Kingsway,Vancouver,BC ,V5R 5H1,martial+arts
S C Kim's Taekwondo,www.6044305467.yp.ca,,604-430-5467,1-4603 Kingsway,Burnaby,BC ,V5H 4M4,martial+arts
DT Lim's Tae Kwon-Do Acadamy,www.6044338800.yp.ca,,604-433-8800,2-3058 Kingsway,Vancouver,BC ,V5R 5J7,martial+arts
Sun Hang Do Martial Arts,www.6044370065.yp.ca,,604-437-0065,101-2806 Kingsway,Vancouver,BC ,V5R 5T5,martial+arts
Intention Martial Arts Inc,www.6044513940.yp.ca,,604-451-3940,128-3665 Kingsway,Vancouver,BC ,V5R 5W2,martial+arts
Yuen's Family Martial Arts,www.6044600046.yp.ca,,604-460-0046,Suite 3-11393 Kingston,Maple Ridge,BC ,V2X 0Y5,martial+arts
Fight Pit The,www.6044634932.yp.ca,,604-463-4932,11915 224 Street,Maple Ridge,BC ,V2X 6B2,martial+arts
Chong's Taekwondo Academy,www.6044644587.yp.ca,,604-464-4587,1-3160 Westwood Street,Port Coquitlam,BC ,V3C 3L7,martial+arts
Sun Hang Do Martial Arts,www.6044651065.yp.ca,,604-465-1065,4-20295 113B Avenue,Maple Ridge,BC ,V2X 6E9,martial+arts
Golden Ears Martial Arts Inc,www.6044654853.yp.ca,,604-465-4853,105-19141 Ford Road,Pitt Meadows,BC ,V3Y 2P8,martial+arts
Fraser's Kickboxing,www.6044678793.yp.ca,,604-467-8793,22760 Lougheed Highway,Maple Ridge,BC ,V2X 2V6,martial+arts
Yuen's Martial Arts Centre,www.6044684057.yp.ca,,604-468-4057,2-1449 Prairie Avenue,Port Coquitlam,BC ,V3B 1S9,martial+arts
Transcending Martial Arts Inc,www.6044690207.yp.ca,,604-469-0207,2827 Spring Street,Port Moody,BC ,V3H 4C6,martial+arts
Port Moody Shotokan Karate Club,www.6044693090.yp.ca,,604-469-3090,2922 St. Johns Street,Port Moody,BC ,V3H 2C3,martial+arts
Personal Best Martial Arts Academy,www.6044721111.yp.ca,,604-472-1111,11-2565 Barnet Highway,Coquitlam,BC ,V3H 4E2,martial+arts
Warrior Spirit Martial Arts,www.warriorspirit.net,,604-476-1839,22720 Dewdney Trunk Road,Maple Ridge,BC ,V2X 3K2,martial+arts
Warrior Spirit Martial Arts,www.6044765425.yp.ca,,604-476-5425,22712 Dewdney Trunk Road,Maple Ridge,BC ,V2X 3K2,martial+arts
Canadian Martial Arts Academy,www.6044858255.yp.ca,,604-485-8255,4493F Marine Avenue,Powell River,BC ,V8A 2K3,martial+arts
Taoist Tai Chi Society Of Canada,www.6045070700.yp.ca,,604-507-0700,14062 78 Avenue,Surrey,BC ,V3W 2Y1,martial+arts
Woo Kim Surrey Tae Kwon Do,www.6045076751.yp.ca,,604-507-6751,101-14770 64 Avenue,Surrey,BC ,V3S 1X7,martial+arts
Fitness Depot,,,604-514-3330,19860 Langley By-Pass,Langley,BC ,V3A 4Y1,martial+arts
CMA Martial Arts Training Center Ltd,www.6045148707.yp.ca,,604-514-8707,22575 Fraser Highway,Langley,BC ,V2Z 2T5,martial+arts
Hawkes Martial Arts,www.6045223814.yp.ca,,604-522-3814,484 Columbia Street,New Westminster,BC ,V3L 1B1,martial+arts
Columbia Martial Arts,www.6045232787.yp.ca,,604-523-2787,7759 Edmonds Street,Burnaby,BC ,V3N 1B9,martial+arts
Tashu Shotowa Karate & Fitness Center Ltd,www.tashushotowakarate.com,,604-525-6750,52 Sixth Street,New Westminster,BC ,V3L 2Z2,martial+arts
Oriental Martial Arts College,www.6045262309.yp.ca,,604-526-2309,842 Twelfth Street,New Westminster,BC ,V3M 4K3,martial+arts
Peak Performance Taekwondo Academy,www.6045262652.yp.ca,,604-526-2652,1003 Brunette Avenue,Coquitlam,BC ,V3K 6Z5,martial+arts
Red Tiger Martial Arts,www.redtigermartialarts.com,,604-526-5425,2-314 Sixth Street,New Westminster,BC ,V3L 3A6,martial+arts
Taegeuk Hapkido Martial Art School,www.6045300286.yp.ca,,604-530-0286,102-5844 Glover Road,Langley,BC ,V3A 4H9,martial+arts
Seikido Martial Arts Assn Of Canada,www.6045310595.yp.ca,,604-531-0595,8713 Cambie Street,Vancouver,BC ,V6P 3J9,martial+arts
Safeguard Martial Arts,www.langleykarate.com,,604-532-0090,108-6360 202 Street,Langley,BC ,V2Y 1N2,martial+arts
Rahn's Black Belt Academy,www.rahnsblackbeltacademy.com,,604-532-0172,Rear-20211 56 Avenue,Langley,BC ,V3A 3Y6,martial+arts
Woo Kim Langley Tae Kwon Do School,www.wookimlangleytaekwondo.,,604-532-1002,109-20505 Fraser Highway,Langley,BC ,V3A 4G3,martial+arts
MMA-Mixed Martial Arts,www.6045329313.yp.ca,,604-532-9313,108-20530 Langley By-Pass,Langley,BC ,V3A 6K8,martial+arts
Pacific Coast Taekwondo Schools Ltd,www.6045337855.yp.ca,,604-533-7855,5786 203 Street,Langley,BC ,V3A 1W3,martial+arts
Dragon's Denmma & Urban Defense,www.dragonsdenmartialarts.ca,,604-536-3478,7-15515 24 Avenue,Surrey,BC ,V4A 2J4,martial+arts
Tong Moo Do Martial Arts,www.tongmoodo.com,,604-541-1345,1403D Johnston Road,White Rock,BC ,V4B 3Z4,martial+arts
Chang's TaeKwonDo Martial Arts,www.6045419457.yp.ca,,604-541-9457,5-15531 24 Avenue,Surrey,BC ,V4A 2J4,martial+arts
Laroche Jiu-Jitsu,www.6045437275.yp.ca,,604-543-7275,209-13308 76 Avenue,Surrey,BC ,V3W 2W1,martial+arts
Han Moo Hapkido,www.6045521325.yp.ca,,604-552-1325,110-3200 Westwood Street,Port Coquitlam,BC ,V3C 6C7,martial+arts
Abbotsford Karate Club,,psexton-is@shaw.ca,604-556-1444,46405 Yale Road East,Chilliwack,BC ,V2P 2P8,martial+arts
Dojang Studio,www.6045683441.yp.ca,,604-568-3441,4465 Dunbar Street,Vancouver,BC ,V6S 2G4,martial+arts
Kikara Martial Arts Academies,www.6045685425.yp.ca,,604-568-5425,4247 Lougheed Highway,Burnaby,BC ,V5C 3Y6,martial+arts
Sadohana,www.6045688850.yp.ca,,604-568-8850,101-3570 Hastings Street East,Vancouver,BC ,V5K 2A7,martial+arts
Academie Duello,www.6045689907.yp.ca,,604-568-9907,2-422 Richards Street,Vancouver,BC ,V6B 2Z4,martial+arts
Yoshukai International Karate School,www.yoshukaiinternationalkarate.com,,604-575-2324,101-19045 54 Avenue,Surrey,BC ,V3S 4R1,martial+arts
Cloverdale Blackbelt Academy Inc,www.6045760320.yp.ca,,604-576-0320,101-17974 55 Avenue,Surrey,BC ,V3S 6C8,martial+arts
Wttu Martial Arts North Delta,www.6045835425.yp.ca,,604-583-5425,11706 96 Avenue,Delta,BC ,V4C 3W7,martial+arts
Sonfire Tae Kwon Do Academy Ltd,www.6045837191.yp.ca,,604-583-7191,12976 107A Avenue,Surrey,BC ,V3T 2G7,martial+arts
Jong Kim Martial Arts Group,www.6045841000.yp.ca,,604-584-1000,117-15277 100 Avenue,Surrey,BC ,V3R 8X2,martial+arts
Evolution Combat Apparel,www.6045850015.yp.ca,,604-585-0015,130-15280 101 Avenue,Surrey,BC ,V3R 8X7,martial+arts
Black Belt Academy,www.6045875425.yp.ca,,604-587-5425,607-10833 160 Street,Surrey,BC ,V4N 1P3,martial+arts
Red Tiger Martial Arts,www.6045885425.yp.ca,,604-588-5425,15326 103A Avenue,Surrey,BC ,V3R 7A2,martial+arts
Jong Kim Centre,www.6045901000.yp.ca,,604-590-1000,5-7548 120 Street,Surrey,BC ,V3W 3N1,martial+arts
Academy Of Martial Arts,www.6045901080.yp.ca,,604-590-1080,113-12414 82 Avenue,Surrey,BC ,V3W 3E9,martial+arts
Wttu Black Belt Academy,www.6045905425.yp.ca,,604-590-5425,2-6468 King George Highway,Surrey,BC ,V3W 4Z3,martial+arts
World Tae Kwon Do Academy,www.6045915811.yp.ca,,604-591-5811,11918 88 Avenue,Delta,BC ,V4C 3C8,martial+arts
Kikara Martial Arts Academy,www.6045925402.yp.ca,,604-592-5402,104-13569 76 Avenue,Surrey,BC ,V3W 2W3,martial+arts
World Kickboxing & XTRM Fitness,www.6045929876.yp.ca,,604-592-9876,Bsmt-8318 120 Street,Surrey,BC ,V3W 3N4,martial+arts
Suitela Fitness & Self-Defense Centre,www.6045963951.yp.ca,,604-596-3951,20-12468 82 Avenue,Surrey,BC ,V3W 3E9,martial+arts
Bushido Martial Arts & Fight Gear Supply,www.6045965132.yp.ca,,604-596-5132,7619 King George Highway,Surrey,BC ,V3W 5B1,martial+arts
Shaolin Kung Fu Academy,www.6045968353.yp.ca,,604-596-8353,102-13463 78 Avenue,Surrey,BC ,V3W 0A8,martial+arts
Phoenix School Of Martial Arts,www.6045975991.yp.ca,,604-597-5991,8285 132 Street,Surrey,BC ,V3W 4N6,martial+arts
Surrey Martial Arts,www.6045996007.yp.ca,,604-599-6007,105-8501 162 Street,Surrey,BC ,V4N 1B2,martial+arts
Master Romao Tae Kwon Do School,www.6045997220.yp.ca,,604-599-7220,101-12568 72 Avenue,Surrey,BC ,V3W 2M6,martial+arts
Shihan Henry's Martial Arts Academy,www.6046131326.yp.ca,,604-613-1326,31324 Peardonville Road,Abbotsford,BC ,V2T 6K8,martial+arts
Axe Capoeira Academy,www.6046693135.yp.ca,,604-669-3135,45 Hastings Street West,Vancouver,BC ,V6B 1G4,martial+arts
Taoist Tai Chi Society Of Canada,www.taoist.bc.ca,,604-681-6609,588 15th Avenue East,Vancouver,BC ,V5T 2R5,martial+arts
Kuen Way Martial Arts Supplies,www.6046823329.yp.ca,,604-682-3329,6560 Victoria Drive,Vancouver,BC ,V5P 3X9,martial+arts
Evolution Martial Art,www.6046832446.yp.ca,,604-683-2446,1232 Richards Street,Vancouver,BC ,V6B 3G2,martial+arts
Universal Mix Martial Arts,www.6046840991.yp.ca,,604-684-0991,Bsmt-1260 Granville Street,Vancouver,BC ,V6Z 1M4,martial+arts
Dragons Martial Arts Supplies Inc,www.6046852187.yp.ca,,604-685-2187,28 Pender Street East,Vancouver,BC ,V6A 1T1,martial+arts
