
Westside Physiotherapy,www.2503820777.yp.ca,,250-382-0777,Suite 240-174 Wilson St,Victoria,BC ,V9A 7N6,physiotherapist
CBI Health Centre,www.2503833638.yp.ca,,250-383-3638,605 Discovery Street,Victoria,BC ,V8T 5G4,physiotherapist
Chenier Suzanne,www.2503836767.yp.ca,,250-383-6767,121-30 Douglas Street,Victoria,BC ,V8V 2N7,physiotherapist
Hillside Physiotherapy Clinic,www.2503843811.yp.ca,,250-384-3811,1038 Hillside Avenue,Victoria,BC ,V8T 2A5,physiotherapist
Jackson Matthew,www.2503844172.yp.ca,,250-384-4172,60-1105 Pandora Avenue,Victoria,BC ,V8V 3P9,physiotherapist
Acheson Whitley Sweeney,www.2503846262.yp.ca,,250-384-6262,400-535 Yates Street,Victoria,BC ,V8W 2Z6,physiotherapist
Yauk Ellen,www.2503852245.yp.ca,,250-385-2245,409-1030 Linden Avenue,Victoria,BC ,V8V 4H2,physiotherapist
Yarrow Physiotherapy & Acupuncture,www.yarrowclinic.com,yarrow33@telus.net,250-385-3151,330-645 Fort Street,Victoria,BC ,V8W 1G2,physiotherapist
Yates Orthopaedic & Sports Physiotherapy Clinic,www.2503855853.yp.ca,,250-385-5853,16-1120 Yates Street,Victoria,BC ,V8V 3M9,physiotherapist
Lantzville Physiotherapy Clinic,www.2503903484.yp.ca,,250-390-3484,Suite 1-7184 Lantzville Rd,Lantzville,BC ,V0R 2H0,physiotherapist
Cariboo Therapy Centre,www.2503952185.yp.ca,,250-395-2185,Suite 103-272 Fifth St,100 Mile House,BC ,V0K 2E3,physiotherapist
Pro Physioworks,www.2503985566.yp.ca,,250-398-5566,240 Mackenzie Avenue North,Williams Lake,BC ,V2G 1N6,physiotherapist
Williams Lake Physiotherapy Clinic,www.2503986771.yp.ca,,250-398-6771,565B Oliver Street,Williams Lake,BC ,V2G 1M7,physiotherapist
Rec-Plex Physiotherapy Clinic,www.2504170299.yp.ca,,250-417-0299,1521 Baker Street,Cranbrook,BC ,V1C 1B4,physiotherapist
Fernie Physiotherapy,www.2504233423.yp.ca,,250-423-3423,527M Hwy 3,Fernie,BC ,V0B 1M0,physiotherapist
Kootenay Therapy Center,www.2504264629.yp.ca,,250-426-4629,8-1777 2nd Street North,Cranbrook,BC ,V1C 7G9,physiotherapist
Cranbrook Physiotherapy Clinic,www.2504267097.yp.ca,,250-426-7097,28 11th Avenue South,Cranbrook,BC ,V1C 2P1,physiotherapist
Kimberley Physiotherapy Clinic,www.2504272445.yp.ca,,250-427-2445,160B Howard Street,Kimberley,BC ,V1A 2G6,physiotherapist
Kimberley Rehabilitation Centre,www.2504277087.yp.ca,,250-427-7087,260 4th Avenue,Kimberley,BC ,V1A 2R6,physiotherapist
PhysioWorks,www.2504288962.yp.ca,,250-428-8962,124 14 Avenue North RR 4,Creston,BC ,V0B 1G4,physiotherapist
University Of Victoria,www.2504724057.yp.ca,,250-472-4057,Finnerty Rd,Victoria,BC ,V8W 2Y2,physiotherapist
Apple Health,www.2504728035.yp.ca,,250-472-8035,205-2590 Cadboro Bay Road,Victoria,BC ,V8R 5J2,physiotherapist
Island Hand Therapy Clinic,www.2504741128.yp.ca,,250-474-1128,303-582 Goldstream Avenue,Victoria,BC ,V9B 2W7,physiotherapist
Metchosin Physiotherapy,www.2504744622.yp.ca,,250-474-4622,4492G Happy Valley Rd,Victoria,BC ,V9C 3Z3,physiotherapist
Acacia Integrated Health Clinic,www.acaciahealth.ca,pamuel@coastnet.com,250-475-1522,5-1517 Amelia Street,Victoria,BC ,V8W 2J9,physiotherapist
Town & Country Physiotherapy,www.townandcountryphysio.ca,townandcountry_physiotherapy@shaw.ca,250-475-3442,204-3491 Saanich Road,Saanich,BC ,V8X 1W8,physiotherapist
McKenzie Physiotherapy,www.2504771441.yp.ca,,250-477-1441,201-3941 Shelbourne Street,Saanich,BC ,V8P 4J2,physiotherapist
Backfit Spinal Health & Fitness,www.2504778143.yp.ca,,250-477-8143,1095 McKenzie Avenue,Saanich,BC ,V8P 2L5,physiotherapist
Phelps Physiotherapy,www.2504780666.yp.ca,,250-478-0666,475 Phelps Avenue,Victoria,BC ,V9B 3H8,physiotherapist
Coastal Health Alliance,www.2504782002.yp.ca,,250-478-2002,102-2780 Veterans Memorial Parkway,Victoria,BC ,V9B 3S6,physiotherapist
Langford Physiotherapy & Medical Acupuncture,www.2504786333.yp.ca,,250-478-6333,105-877 Goldstream Avenue,Victoria,BC ,V9B 2X8,physiotherapist
Woltz Brian,www.2504787227.yp.ca,,250-478-7227,105-721 Station Avenue,Victoria,BC ,V9B 2S1,physiotherapist
West Shore Physiotherapy,www.2504788280.yp.ca,,250-478-8280,582 Goldstream Avenue,Victoria,BC ,V9B 2W7,physiotherapist
Summit Injury Management Inc,www.2504788590.yp.ca,,250-478-8590,204-940 Goldstream Avenue,Victoria,BC ,V9B 2Y4,physiotherapist
Royal Oak Physiotherapy Clinic,www.2504795112.yp.ca,,250-479-5112,205-4475 Viewmont Avenue,Victoria,BC ,V8Z 6L8,physiotherapist
Coastal Therapy Equipment & Supplies,www.2504831336.yp.ca,,250-483-1336,1393 Hillside Avenue,Victoria,BC ,V8T 2B3,physiotherapist
Sports Clinic At City Centre,www.2504871455.yp.ca,,250-487-1455,207-399 Main Street,Penticton,BC ,V2A 5B7,physiotherapist
Pro-Physio Clinic,www.2504908999.yp.ca,,250-490-8999,16-88 Duncan Avenue West,Penticton,BC ,V2A 7J7,physiotherapist
Dale Charles Physiotherapy,www.2504937343.yp.ca,,250-493-7343,353 Winnipeg Street,Penticton,BC ,V2A 5M4,physiotherapist
Summerland Physiotherapy & Sports Care,www.2504941828.yp.ca,,250-494-1828,10121 Main,Summerland,BC ,V0H 1Z0,physiotherapist
Pro-Physio Clinic,www.2504947705.yp.ca,,250-494-7705,10104 Wharton,Summerland,BC ,V0H 1Z0,physiotherapist
Osoyoos Physiotherapy Clinic,www.2504952225.yp.ca,,250-495-2225,8301 78th Ave,Osoyoos,BC,,physiotherapist
Kalamalka Physiotherapy Centre,www.2505032112.yp.ca,,250-503-2112,8-100 Kalamalka Lake Road,Vernon,BC ,V1T 9G1,physiotherapist
Salt Spring Physiotherapy,www.2505371464.yp.ca,,250-537-1464,103 Hereford Avenue,Salt Spring Island,BC ,V8K 2T3,physiotherapist
Damini Physiotherapy & Sports Injury,www.2505452335.yp.ca,,250-545-2335,103-3310 32 Avenue,Vernon,BC ,V1T 2M6,physiotherapist
Easthill Physiotherapy & Acupuncture,www.2505452922.yp.ca,,250-545-2922,2906 26 Street,Vernon,BC ,V1T 4T7,physiotherapist
Vernon Physiotherapy & Rehabilitation Clinic,www.2505453696.yp.ca,,250-545-3696,3007 31 Avenue,Vernon,BC ,V1T 2G6,physiotherapist
Northend Spine & Sports Physical Therapy & Massage Therapy,www.2505456030.yp.ca,,250-545-6030,201-4710 31 Street,Vernon,BC ,V1T 5J9,physiotherapist
North Okanagan Physiotherapist Corp,www.2505462468.yp.ca,,250-546-2468,20-3300 Smith Drive RR 1,Armstrong,BC ,V0E 1B1,physiotherapist
Armstrong Physiotherapy Clinic,www.2505469596.yp.ca,,250-546-9596,A 2516 Patterson St,Armstrong,BC ,V0E 1B1,physiotherapist
Concept Physiotherapy,www.2505491098.yp.ca,,250-549-1098,105D 3101 Hwy 6,Vernon,BC ,V1T 9H6,physiotherapist
Priest Valley Manual Therapy Centre,www.2505492552.yp.ca,,250-549-2552,2815 35 Street,Vernon,BC ,V1T 6B6,physiotherapist
Spine & Sports Physical Therapy,www.2505589998.yp.ca,,250-558-9998,3607 31 Street,Vernon,BC ,V1T 5J4,physiotherapist
CBI Physiotherapy & Rehabilitation Centre,www.cbi.ca,,250-562-3537,1310 5th Avenue,Prince George,BC ,V2L 3L4,physiotherapist
Hardy Sandra,www.2505628248.yp.ca,,250-562-8248,410-2155 10th Avenue,Prince George,BC ,V2M 5J6,physiotherapist
YMCA Of Prince George,www.ymca.ca,,250-562-9341,2020 Massey,Prince George,BC ,V2L 3V9,physiotherapist
Physionorth Sports & Wellness Centre,www.2505630050.yp.ca,,250-563-0050,310-500 Victoria Street,Prince George,BC ,V2L 2J9,physiotherapist
Victoria Sports Physiotherapy Clinic,www.2505643820.yp.ca,,250-564-3820,108-1669 Victoria Street,Prince George,BC ,V2L 2L5,physiotherapist
Physiotherapy & Wellness Services,www.2505675211.yp.ca,,250-567-5211,402 Northside Road RR 2,Vanderhoof,BC ,V0J 3A2,physiotherapist
Metchosin Physiotherapy,www.2505904688.yp.ca,,250-590-4688,3939 Circle Drive,Victoria,BC ,V9C 4A9,physiotherapist
Victoria Exercise Rehabilitation Centre,www.2505922292.yp.ca,,250-592-2292,1830 Oak Bay Avenue,Victoria,BC ,V8R 6R2,physiotherapist
Phillips Michael Physiotherapy,www.2505929848.yp.ca,,250-592-9848,104-3581 Shelbourne Street,Saanich,BC ,V8P 4G8,physiotherapist
Alan Jones Fort Royal Physiotherapy,www.2505951773.yp.ca,,250-595-1773,Suite 120-1900 Richmond Rd,Victoria,BC ,V8R 4R2,physiotherapist
Foul Bay Physical Therapy,www.foulbayphysio.com,terriwork@shaw.ca,250-595-2244,220-1964 Fort Street,Victoria,BC ,V8R 6R3,physiotherapist
Island Hand Therapy Clinic,www.2505988814.yp.ca,,250-598-8814,Suite 310-1900 Richmond Rd,Victoria,BC ,V8R 4R2,physiotherapist
Salmas Penny,www.2505989828.yp.ca,,250-598-9828,100-3200 Shelbourne Street,Saanich,BC ,V8P 5G8,physiotherapist
VAX-D Information Line,www.2506142060.yp.ca,,250-614-2060,1722 Ogilvie Street South,Prince George,BC ,V2N 1W9,physiotherapist
Prince Rupert Physiotherapy Clinic,www.2506243399.yp.ca,,250-624-3399,1546 India Avenue,Prince Rupert,BC ,V8J 2Y2,physiotherapist
Cedar River Physiotherapy & Rehabilitation Centre,www.2506381010.yp.ca,,250-638-1010,3222 Munroe Street,Terrace,BC ,V8G 3B5,physiotherapist
Sooke Evergreen Physiotherapy Inc,www.2506424911.yp.ca,,250-642-4911,3-6726 West Coast Rd,Sooke,BC ,V0S 1N0,physiotherapist
Sooke Evergreen Physiotherapy Inc,www.2506425522.yp.ca,,250-642-5522,Suite 3-6726 West Coast Rd,Sooke,BC ,V0S 1N0,physiotherapist
Body Balance Integrated Health Clinic,www.2506490886.yp.ca,,250-649-0886,206-1811 Victoria Street,Prince George,BC ,V2L 2L6,physiotherapist
Saanichton Physiotherapy & Sports Clinic,www.2506520132.yp.ca,,250-652-0132,2-7865 Patterson Road,Saanichton,BC ,V8M 2C7,physiotherapist
Brentwood Massage & Physiotherapy Clinic,www.2506526515.yp.ca,,250-652-6515,6967 Wallace Drive,Brentwood Bay,BC ,V8M 1G2,physiotherapist
Peninsula Physiotherapy Clinic,www.2506564717.yp.ca,,250-656-4717,9733 Fourth Street,Sidney,BC ,V8L 2Y8,physiotherapist
Island Hand Therapy Clinic,www.2506568839.yp.ca,,250-656-8839,106-9710 Second Street,Sidney,BC ,V8L 3C4,physiotherapist
A I M Physiotherapy,www.2506753060.yp.ca,,250-675-3060,2825 Arnheim,Sorrento,BC ,V0E 2W0,physiotherapist
Little Shuswap Physiotherapy,www.2506798066.yp.ca,,250-679-8066,733 Sicamous,Chase,BC ,V0E 1M0,physiotherapist
Kare Physiotherapy,www.2507177701.yp.ca,,250-717-7701,1515 Lawrence Avenue,Kelowna,BC ,V1Y 6M9,physiotherapist
Okanagan IMS Pain Centre & Physiotherapy,www.2507181057.yp.ca,,250-718-1057,3685 Brown Road,Westbank,BC ,V4T 1P7,physiotherapist
Cedar Hill Sports Therapy Clinic,www.2507213300.yp.ca,,250-721-3300,204D-1662 McKenzie Avenue,Saanich,BC ,V8N 0A4,physiotherapist
Port Alberni Physiotherapy,www.2507235112.yp.ca,,250-723-5112,3855 9th Avenue,Port Alberni,BC ,V9Y 4T9,physiotherapist
Pacific Rim Physiotherapist Corp,www.2507235333.yp.ca,,250-723-5333,5050 Strathern Street,Port Alberni,BC ,V9Y 3E3,physiotherapist
Rehabilitation In Motion,www.2507239675.yp.ca,,250-723-9675,2996 2nd Avenue,Port Alberni,BC ,V9Y 1Z2,physiotherapist
Synergy Health Centre,www.synergyhealthmanagement.com,alex@synergyhealthmanagement.com,250-727-3737,106-3960 Quadra Street,Victoria,BC ,V8X 4A3,physiotherapist
CBI Health Centre,www.2507290990.yp.ca,,250-729-0990,4300 Wellington Road,Nanaimo,BC ,V9T 2H3,physiotherapist
Wawrykow Orthopaedic Physiotherapy Services,www.2507297956.yp.ca,,250-729-7956,6010 Brickyard Road,Nanaimo,BC ,V9V 1S5,physiotherapist
CBI Health Centre,www.2507410142.yp.ca,,250-741-0142,741 Third Street,Nanaimo,BC ,V9R 7B2,physiotherapist
Nanaimo Functional Evaluation Centre,www.2507418240.yp.ca,,250-741-8240,1714 Kerrisdale Road,Nanaimo,BC ,V9S 1N5,physiotherapist
South Cowichan Physiotherapy & Sports Rehabilitation,www.2507433833.yp.ca,,250-743-3833,3876 Cobble Hill Rd,Cobble Hill,BC ,V0R 1L0,physiotherapist
Advantage Physiotherapy,www.2507433891.yp.ca,,250-743-3891,591 Kilmalu,Cobble Hill,BC,,physiotherapist
Mill Bay Physiotherapy & Sports Clinic,www.2507434642.yp.ca,,250-743-4642,220-2720 Mill Bay Road RR 1,Mill Bay,BC ,V0R 2P1,physiotherapist
Go West Physiotherapy Clinic,www.2507461664.yp.ca,,250-746-1664,5834 Auburn Crescent,Duncan,BC ,V9L 4X4,physiotherapist
Start Line Physiotherapy,www.2507467463.yp.ca,,250-746-7463,202-2640 Beverly Street,Duncan,BC ,V9L 5C7,physiotherapist
Cowichan Physiotherapy,www.2507467746.yp.ca,,250-746-7746,102-255 Ingram Street,Duncan,BC ,V9L 1P3,physiotherapist
Turning Point Acupuncture & Herbal Klinic,www.2507482060.yp.ca,,250-748-2060,489 Trans Canada Highway,Duncan,BC ,V9L 3R7,physiotherapist
CBI Health Centre,www.2507483707.yp.ca,,250-748-3707,5873 York Road,Duncan,BC ,V9L 4Y2,physiotherapist
Ingram Physiotherapy Ltd,www.2507484818.yp.ca,,250-748-4818,6074 Sterling Drive,Duncan,BC ,V9L 5N2,physiotherapist
Lake Cowichan Therapy,www.2507493621.yp.ca,,250-749-3621,103 205 South Shore,Lake Cowichan,BC ,V0R 2G0,physiotherapist
Long Lake Sports & Orthopaedic Physiotherapy Clinic,www.2507510222.yp.ca,,250-751-0222,4800 Island Highway North,Nanaimo,BC ,V9T 1W6,physiotherapist
Matheson Physiotherapy,www.2507512497.yp.ca,,250-751-2497,8A-6421 Applecross Road,Nanaimo,BC ,V9V 1N1,physiotherapist
Qualicum Physiotherapy Clinic,www.2507523212.yp.ca,,250-752-3212,Suite 1-140 W 1st Ave,Qualicum Beach,BC ,V9K 2R5,physiotherapist
Cumbria Physiotherapy,www.2507528471.yp.ca,,250-752-8471,425 Mill Road,Qualicum Beach,BC ,V9K 1J3,physiotherapist
Wawrykow Orthopaedic Physiotherapy Services,www.2507535922.yp.ca,,250-753-5922,330-256 Wallace Street,Nanaimo,BC ,V9R 5B3,physiotherapist
Departure Bay Physiotherapy Clinic,www.2507536231.yp.ca,,250-753-6231,3134 Marion Way,Nanaimo,BC ,V9T 1J1,physiotherapist
Advantage Health & Fitness Exercise Equipment,www.2507537368.yp.ca,,250-753-7368,319A Selby Street,Nanaimo,BC ,V9R 2R4,physiotherapist
Alden Clinic Of Physiotherapy,www.2507537771.yp.ca,,250-753-7771,697 Wentworth Street,Nanaimo,BC ,V9R 3E6,physiotherapist
Nanaimo Physiotherapy Clinic,www.2507545332.yp.ca,,250-754-5332,1713 Bowen,Nanaimo,BC ,V9S 1G9,physiotherapist
Bayview Physiotherapy,www.bayviewphysio.com,info@bayviewphysio.com,250-756-0238,3214 Departure Bay Road,Nanaimo,BC ,V9T 1B4,physiotherapist
Pinnacle Sports Physiotherapy Richter,www.2507623322.yp.ca,,250-762-3322,301-3330 Richter Street,Kelowna,BC ,V1W 4V5,physiotherapist
Sun City Physiotherapy,www.2507626313.yp.ca,,250-762-6313,Suite 202-437 Glenmore Rd,Kelowna,BC,,physiotherapist
Holmes Physiotherapy,www.2507637911.yp.ca,,250-763-7911,104-1634 Harvey Avenue,Kelowna,BC ,V1Y 6G2,physiotherapist
Pinnacle Sports Physiotherapy,www.2507647505.yp.ca,,250-764-7505,4105 Gordon Drive,Kelowna,BC ,V1W 4Z1,physiotherapist
Rutland Physical Therapy,www.2507652665.yp.ca,,250-765-2665,104-145 Asher Road,Kelowna,BC ,V1X 3H5,physiotherapist
Sun City Physiotherapy,www.2507662544.yp.ca,,250-766-2544,4-9966 Pollard Road,Winfield,BC ,V4V 1Z4,physiotherapist
Goodman Medical Supplies-Westbank,www.2507681247.yp.ca,,250-768-1247,200-3585 Elliott Road,Westbank,BC ,V4T 1N9,physiotherapist
Westside Physiotherapy & Acupuncture,www.2507685907.yp.ca,,250-768-5907,3685A Brown Road,Westbank,BC ,V4T 1P7,physiotherapist
Pinnacle Sports Physiotherapy,www.2507687101.yp.ca,,250-768-7101,100-3585 Elliott Road,Westbank,BC ,V4T 1N9,physiotherapist
Uplands Physiotherapy,www.2507703235.yp.ca,,250-770-3235,121-725 Carmi Avenue,Penticton,BC ,V2A 3G8,physiotherapist
North Eastern Occupational Rehabilitation Centre Inc,www.2507823736.yp.ca,,250-782-3736,10500 10 Street,Dawson Creek,BC ,V1G 3T9,physiotherapist
Fort St John Physiotherapy Clinic Physiotherapist Corp,www.2507851175.yp.ca,,250-785-1175,10127 102 Avenue,Fort St John,BC ,V1J 2E3,physiotherapist
North Peace Chiropractic,www.2507852830.yp.ca,,250-785-2830,100-9711 100 Avenue,Fort St John,BC ,V1J 1Y2,physiotherapist
Bird Jennifer Physiotherapist,www.2507923618.yp.ca,,250-792-3618,1-420 Fitzgerald Avenue,Courtenay,BC ,V9N 7N2,physiotherapist
Crystal Creek Physiotherapy Clinic,www.2508254544.yp.ca,,250-825-4544,2207 Annable Road,Nelson,BC ,V1L 6K5,physiotherapist
Kelowna Home Therapy,www.2508263145.yp.ca,,250-826-3145,2240 Quail Run Drive,Kelowna,BC ,V1V 2S4,physiotherapist
Trish Toms Physiotherapy,www.2508326946.yp.ca,,250-832-6946,1240 16 Street Ne,Salmon Arm,BC ,V1E 2V1,physiotherapist
Shuswap Physiotherapy Clinic,www.2508329651.yp.ca,,250-832-9651,1181 6 Avenue Ne,Salmon Arm,BC ,V1E 2S5,physiotherapist
Live Well Physiotherapy,www.2508330050.yp.ca,,250-833-0050,171 Shuswap Street Sw,Salmon Arm,BC ,V1E 4H8,physiotherapist
Enderby Physiotherapy Clinic,www.2508382012.yp.ca,,250-838-2012,719 Mill Ave,Enderby,BC ,V0E 1V0,physiotherapist
Total Physiotherapy,www.2508455953.yp.ca,,250-845-5953,3202 14th St,Houston,BC ,V0J 1Z0,physiotherapist
Smithers Physiotherapy Centre,www.2508479808.yp.ca,,250-847-9808,3868 Broadway,Smithers,BC ,V0J 2N0,physiotherapist
Kelowna Physiotherapy Associates,www.kelownaphysiotherapy.com,kelownaphysiotherapy@shawcable.com,250-860-2854,205-3320 Richter Street,Kelowna,BC ,V1W 4V5,physiotherapist
Guisachan Physiotherapy,www.2508603326.yp.ca,,250-860-3326,109-2365 Gordon Drive,Kelowna,BC ,V1W 3C2,physiotherapist
iQuest Healthcare & Fitness Centre,www.2508603413.yp.ca,,250-860-3413,3-1745 Spall Road,Kelowna,BC ,V1Y 4P7,physiotherapist
Burton Bill,www.2508605152.yp.ca,,250-860-5152,1934 Ambrosi Road,Kelowna,BC ,V1Y 4R9,physiotherapist
Okanagan Health & Performance Inc,www.ohpkelowna.com,ohp@ohpkelowna.com,250-860-6295,104-1100 Lawrence Avenue,Kelowna,BC ,V1Y 6M4,physiotherapist
Sun City Physiotherapy,www.2508618056.yp.ca,,250-861-8056,1468 St. Paul Street,Kelowna,BC ,V1Y 2E6,physiotherapist
Okanagan Acupuncture Centre,www.2508618863.yp.ca,,250-861-8863,1625 Ellis Street,Kelowna,BC ,V1Y 2A8,physiotherapist
Mission Massage Therapy Centre,www.2508618900.yp.ca,,250-861-8900,290-1855 Kirschner Road,Kelowna,BC ,V1Y 4N7,physiotherapist
Alpine Physiotherapy,www.2508776966.yp.ca,,250-877-6966,1268 Main St,Smithers,BC ,V0J 2N0,physiotherapist
Broadmead Orthopaedic Physiotherapy Clinic,www.2508811199.yp.ca,,250-881-1199,102-4420 Chatterton Way,Saanich,BC ,V8X 5J2,physiotherapist
Coastal Physiotherapy & Sports,www.coastalphysio.ca,,250-890-9142,1700 Comox Avenue,Comox,BC ,V9M 4H4,physiotherapist
Activa,www.2508969355.yp.ca,,250-896-9355,1555 McKenzie Avenue,Victoria,BC ,V8N 1A4,physiotherapist
Gentle Hands Physiotherapy,www.2508970010.yp.ca,,250-897-0010,532A 5th Street,Courtenay,BC ,V9N 1K3,physiotherapist
5th Street Professional Centre,www.2508970069.yp.ca,,250-897-0069,532 5th Street,Courtenay,BC ,V9N 1K3,physiotherapist
Rehabilitation In Motion,www.2509233773.yp.ca,,250-923-3773,2315 S Island Hwy,Campbell River,BC ,V9W 1C4,physiotherapist
Tarves Physiotherapy,www.2509332919.yp.ca,,250-933-2919,6735 Ellen Place,Nanaimo,BC ,V9V 1A2,physiotherapist
